0;"http://passport.nexon.net/?PART=/Registration/AgeCheck"
1;"http://passport.nexon.net/WZ.ASPX?PART=/Accounts/ForgotId"
2;"http://passport.nexon.net/WZ.ASPX?PART=/Accounts/ForgotPassword"
3;"http://maplestory.nexon.net/WZ.ASPX?PART=/Downloads/GamePatches"
4;"http://maplestory.nexon.net/?PART=/News/Notice&bbsidx=3255"
5;"http://billing.nexon.net/WZ.ASPX?PART=/Purchasing/Account"
6;"http://nxcache.nexon.net/maplestory/ending/ending_ms.html"
7;"http://passport.nexon.net/?PART=/MyMaple/Verifycode"
8;"Tahoma"
9;"Arial Narrow"
10;"Eqp"
11;"Setup"
12;"Aprendiz"
13;"Guerreiro"
14;"Arqueiro"
15;"Gatuno"
16;"Pirata"
17;"매니저"
18;"Cygnus Knights"
19;"Available to"
20;"SuperGM"
21;"MWLB"
22;"Espadachim"
23;"Soldado"
24;"Templario"
25;"Heroi"
26;"Escudeiro"
27;"Cavaleiro Branco"
28;"Paladino"
29;"Lanceiro"
30;"Cavaleiro Draconiano"
31;"Cavaleiro Negro"
32;"Feiticeiro"
33;"Mago"
34;"Arquimago"
35;"Feiticeiro(Fogo,Veneno)"
36;"Mago(Fogo,Veneno)"
37;"Arquimago(Fogo,Veneno)"
38;"Feiticeiro(Gelo,Relampago)"
39;"Mago(Gelo,Relampago)"
40;"Arquimago(Gelo,Relampago)"
41;"Clerigo"
42;"Sacerdote"
43;"Sumo Sacerdote"
44;"Arqueiro"
45;"Caçador"
46;"Rastreador"
47;"Mestre Arqueiro"
48;"Balestreiro"
49;"Atirador"
50;"Mestre Balestreiro"
51;"Rogue"
52;"Assassin"
53;"Hermit"
54;"Night Lord"
55;"Bandit"
56;"Chief Bandit"
57;"Shadower"
58;"Brawler"
59;"Marauder"
60;"Buccaneer"
61;"Gunslinger"
62;"Outlaw"
63;"Corsario"
64;"Noblesse"
65;"There are too many requests on the server at this point. Please try again later."
66;"You can't do it once you're dead."
67;"Will you go back to the main menu?"
68;"Press check button first\r\nand see if the name is available."
69;"Your SSN doesn't match.\r\nPlease try again."
70;"You can't create a character anymore."
71;"Voce tem certeza que deseja deletar esse personagem?"
72;"[Warning]\r\nIf the name contains a foul language or anything similar,\r\nyour account may be subject to restrictions."
73;"The name '%s' is taken."
74;"The name '%s' is available."
75;"The namecheck didn't work \r\ndue to an unknown error."
76;"The character wasn't made \r\ndue to an unknown error."
77;"The channel you selected is currently unavailable.\r\n Please select another channel or try again later."
78;"The connection has been lost. Please try again later. \r\nIf this error occurs again, please visit (GameGuard website) for more information."
79;"There was an error trying to connect to the game server.\r\nPlease try again later."
80;"We are unable to connect to the login server due to a server check, a firewall block or other network issues. \r\n Please check the MapleStory homepage for ongoing server checks as well as your firewall settings."
81;"Check out the MapleStory Notice board."
82;"You have been disconnected from the login server. \r\nPlease try again later."
83;"There is currently not enough available memory to run MapleStory.\r\nPlease visit the FAQ section at maplestory.nexon.net for further details."
